farmer_id,crop_class_name,association,camp_name,district_name,region_name,number_seasons,agroecological_zone,initial_down_payment_value,package_cash_repayment,package_in_kind_repayment,package_hectares,fertilizer,fungicide,gypsum,inoculant,insecticide,lime,seed_guard,grade_a_price,grade_b_price,grade_c_price,total_weight,grade_a_weight,grade_b_weight,grade_c_weight,total_net_weight,grade_a_cash_value,grade_b_cash_value,grade_c_cash_value
18484,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,15,14,12,449,449,0,0,349,5235,0,0
18485,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,2,IIa,100.0,0,110,0.75,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,450,450,0,0,340,5780,0,0
18486,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,2,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,638,638,0,0,538,9146,0,0
18487,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,15,14,12,599,599,0,0,499,7485,0,0
18488,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,817,817,0,0,717,12189,0,0
18489,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,298,276,0,22,198,2992,0,308
18490,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,2,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,15,14,12,600,600,0,0,500,7500,0,0
18491,Soy Bean,GNA Farmer,Ng'ongwe,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,492,392,100,0,392,4964,1500,0
18492,Soy Bean,GNA Farmer,Kwenje A,Kasenengwa,Kasenengwa,1,IIa,100.0,0,125,0.75,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,1273,1273,0,0,1148,19516,0,0
18493,Soy Bean,GNA Farmer,Kwenje A,Kasenengwa,Kasenengwa,1,IIa,100.0,0,150,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,863,863,0,0,713,12121,0,0
18494,Soy Bean,GNA Farmer,Kwenje A,Kasenengwa,Kasenengwa,1,IIa,0.0,0,125,0.75,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,242,242,0,0,117,1989,0,0
18496,Soy Bean,GNA Farmer,Kwenje A,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,1200,1200,0,0,1100,18700,0,0
18497,Soy Bean,GNA Farmer,Kwenje B,Kasenengwa,Kasenengwa,2,IIa,100.0,0,150,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,287,287,0,0,137,2329,0,0
18498,Soy Bean,GNA Farmer,Kwenje A,Kasenengwa,Kasenengwa,1,IIa,100.0,0,140,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,1809,1809,0,0,1669,28373,0,0
18500,Soy Bean,GNA Farmer,Kwenje B,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,760,760,0,0,660,11220,0,0
18502,Soy Bean,GNA Farmer,Kwenje B,Kasenengwa,Kasenengwa,1,IIa,0.0,0,250,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,17,15,14,865,865,0,0,615,10455,0,0
18503,Soy Bean,GNA Farmer,Kwenje B,Kasenengwa,Kasenengwa,1,IIa,100.0,0,150,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,824,824,0,0,674,11458,0,0
18505,Soy Bean,GNA Farmer,Kwenje B,Kasenengwa,Kasenengwa,1,IIa,100.0,0,150,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,1124,1124,0,0,974,16558,0,0
18506,Soy Bean,GNA Farmer,Katondo,Kasenengwa,Kasenengwa,1,IIa,100.0,0,120,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,542,542,0,0,422,7174,0,0
18507,Soy Bean,GNA Farmer,Katondo,Kasenengwa,Kasenengwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,100,100,0,0,0,0,0,0
18509,Groundnut,GNA Farmer,Nakamboma,Namwala,Southern,1,IIa,250.0,0,100,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,13,12,12,47,47,0,0,0,0,0,0
18511,Groundnut,GNA Farmer,Nakamboma,Namwala,Southern,1,IIa,250.0,0,100,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,13,12,12,5,5,0,0,0,0,0,0
18513,Groundnut,GNA Farmer,Ndema,Namwala,Southern,1,IIa,250.0,0,100,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,27,0,0,36,0,36,0,0,0,0,0
18514,Groundnut,GNA Farmer,Ndema,Namwala,Southern,1,IIa,500.0,0,200,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27,0,0,38,38,0,0,0,0,0,0
